Petra has been hiding in a secret garden

	12375 atoms
	8250 bonds
	4125 angles
	0 dihedrals
	0 impropers

	2 atom types
	1 bond types
	1 angle types
	0 dihedral types
	0 improper types

	0 	 49.96595072646873 xlo xhi
	0 	 8.85154769425142 ylo yhi
	0 	 8.85154769425142 zlo zhi

Masses

	1 	 0.06300236258859708
	2 	 1.0

Atoms

    1     1     2 -21.300 15.80579261462413 5.19626225451674 8.18430611209728
    2     1     1 10.650 15.81575109617814 4.89485892722679 8.09038137343651
    3     1     1 10.650 15.71624701642451 5.37892549134555 7.94268508376500
    4     2     2 -21.300 38.34572737365762 2.90418300855654 1.12099301766582
    5     2     1 10.650 38.25202030638029 2.86986236233733 0.82131640468414
    6     2     1 10.650 38.09447743493367 2.89143494545483 1.31197979404927
    7     3     2 -21.300 7.47827545060013 2.73789792278901 1.97091581983891
    8     3     1 10.650 7.23756343272268 2.55030217157296 1.88948761739103
    9     3     1 10.650 7.36807667659507 3.02461237992419 2.04450959578648
   10     4     2 -21.300 14.33844319630449 3.74119147094125 3.65982939384081
   11     4     1 10.650 14.31196854166140 3.50689982488945 3.44965919889450
   12     4     1 10.650 14.64260259197726 3.82016188733418 3.69169989662034
   13     5     2 -21.300 24.81723529554643 8.22154662909034 4.39256383139608
   14     5     1 10.650 24.59305159121920 8.12875623597600 4.59479291746684
   15     5     1 10.650 24.76257584213519 8.09378750132660 4.10891802583702
   16     6     2 -21.300 45.68734478174353 3.69483471756159 1.63554913887239
   17     6     1 10.650 45.82752055180038 3.91044179181933 1.45216610650032
   18     6     1 10.650 45.90640480922299 3.50537099548326 1.76156975587808
   19     7     2 -21.300 39.55748594883134 0.96310082781112 3.80200129153506
   20     7     1 10.650 39.54411599968414 1.07441446016740 4.09729015568541
   21     7     1 10.650 39.82245752684776 0.79529268615919 3.76464511383449
   22     8     2 -21.300 12.17596311137081 5.16114059065066 2.67576313968730
   23     8     1 10.650 12.38003887523689 5.14942326541377 2.43497115381554
   24     8     1 10.650 12.17244082548958 5.45291496977258 2.79667756718256
   25     9     2 -21.300 16.27756496083386 8.09663865492735 5.47060620609602
   26     9     1 10.650 16.33087234396715 7.87557061680354 5.68981441535060
   27     9     1 10.650 16.19521257226785 8.36701289466203 5.61160566762476
   28    10     2 -21.300 33.57925424826279 3.70390552804801 7.16188769734681
   29    10     1 10.650 33.65637204453569 3.86565949930512 6.90178484876816
   30    10     1 10.650 33.36248031111813 3.86501256026532 7.32565148445989
   31    11     2 -21.300 34.95429793082754 3.29234898250158 0.35161090232154
   32    11     1 10.650 35.05106296241314 3.46631771841440 0.59683814625079
   33    11     1 10.650 35.19230480480101 3.25733167002527 0.14693674828364
   34    12     2 -21.300 18.95225912201516 2.18032575690777 4.29877247807960
   35    12     1 10.650 18.68591638316488 2.11739764821541 4.45646392416298
   36    12     1 10.650 19.00784736809855 2.49117148971257 4.30583440947568
   37    13     2 -21.300 26.70243843354390 4.29648396639293 6.94807611174984
   38    13     1 10.650 26.64306572694252 4.52986754706254 6.74369416645610
   39    13     1 10.650 26.91607725994946 4.39351891073910 7.15951798322805
   40    14     2 -21.300 24.34779173395452 4.48723578575490 2.61364601331017
   41    14     1 10.650 24.58559045407454 4.52954141566646 2.41010978567593
   42    14     1 10.650 24.18887763471257 4.75807691276058 2.64765169750790
   43    15     2 -21.300 48.76887208022742 8.77951856771952 0.47836279034744
