# generated by STOCK (http://stock.cmm.ki.si)
SPC_POTENTIAL
N 995

   1 0.03003003 6044491900.00000000 156821340000.00000000
   2 0.03603604 5175564300.00000000 134277450000.00000000
   3 0.04204204 4431549600.00000000 114974350000.00000000
   4 0.04804805 3794491000.00000000 98446184000.00000000
   5 0.05405405 3249012900.00000000 84294026000.00000000
   6 0.06006006 2781950100.00000000 72176315000.00000000
   7 0.06606607 2382030100.00000000 61800589000.00000000
   8 0.07207207 2039600700.00000000 52916428000.00000000
   9 0.07807808 1746397400.00000000 45309412000.00000000
  10 0.08408408 1495343500.00000000 38795945000.00000000
  11 0.09009009 1280380000.00000000 33218823000.00000000
  12 0.09609610 1096318600.00000000 28443442000.00000000
  13 0.10210210 938717040.00000000 24354547000.00000000
  14 0.10810811 803771510.00000000 20853453000.00000000
  15 0.11411411 688225120.00000000 17855659000.00000000
  16 0.12012012 589289120.00000000 15288814000.00000000
  17 0.12612613 504575700.00000000 13090966000.00000000
  18 0.13213213 432040280.00000000 11209071000.00000000
  19 0.13813814 369932210.00000000 9597707500.00000000
  20 0.14414414 316752500.00000000 8217986400.00000000
  21 0.15015015 271217660.00000000 7036607500.00000000
  22 0.15615616 232228690.00000000 6025058100.00000000
  23 0.16216216 198844590.00000000 5158924200.00000000
  24 0.16816817 170259630.00000000 4417301600.00000000
  25 0.17417417 145783910.00000000 3782291200.00000000
  26 0.18018018 124826700.00000000 3238566900.00000000
  27 0.18618619 106882210.00000000 2773005800.00000000
  28 0.19219219 91517326.00000000 2374371600.00000000
  29 0.19819820 78361227.00000000 2033043100.00000000
  30 0.20420420 67096387.00000000 1740782500.00000000
  31 0.21021021 57450927.00000000 1490535800.00000000
  32 0.21621622 49192053.00000000 1276263400.00000000
  33 0.22222222 42120436.00000000 1092793800.00000000
  34 0.22822823 36065401.00000000 935698940.00000000
  35 0.23423423 30880809.00000000 801187280.00000000
  36 0.24024024 26441529.00000000 686012380.00000000
  37 0.24624625 22640420.00000000 587394480.00000000
  38 0.25225225 19385740.00000000 502953420.00000000
  39 0.25825826 16598937.00000000 430651220.00000000
  40 0.26426426 14212752.00000000 368742830.00000000
  41 0.27027027 12169594.00000000 315734100.00000000
  42 0.27627628 10420150.00000000 270345660.00000000
  43 0.28228228 8922198.70000000 231482040.00000000
  44 0.28828829 7639585.30000000 198205280.00000000
  45 0.29429429 6541354.50000000 169712220.00000000
  46 0.30030030 5601000.10000000 145315200.00000000
  47 0.30630631 4795826.60000000 124425370.00000000
  48 0.31231231 4106401.00000000 106538570.00000000
  49 0.31831832 3516084.00000000 91223086.00000000
  50 0.32432432 3010628.20000000 78109286.00000000
  51 0.33033033 2577834.30000000 66880664.00000000
  52 0.33633634 2207256.90000000 57266215.00000000
  53 0.34234234 1889951.90000000 49033895.00000000
  54 0.34834835 1618261.20000000 41985014.00000000
  55 0.35435435 1385627.40000000 35949446.00000000
  56 0.36036036 1186436.00000000 30781524.00000000
  57 0.36636637 1015879.40000000 26356517.00000000
  58 0.37237237 869841.17000000 22567629.00000000
  59 0.37837838 744796.74000000 19323413.00000000
  60 0.38438438 637728.11000000 16545570.00000000
  61 0.39039039 546051.15000000 14167057.00000000
  62 0.39639640 467553.24000000 12130468.00000000
  63 0.40240240 400339.83000000 10386649.00000000
  64 0.40840841 342788.69000000 8893513.30000000
  65 0.41441441 293510.84000000 7615023.80000000
  66 0.42042042 251316.93000000 6520323.90000000
  67 0.42642643 215188.63000000 5582992.80000000
  68 0.43243243 184253.96000000 4780408.10000000
  69 0.43843844 157766.31000000 4093199.10000000
  70 0.44444444 135086.40000000 3504780.10000000
  71 0.45045045 115666.85000000 3000949.40000000
  72 0.45645646 99038.96000000 2569547.00000000
  73 0.46246246 84801.41900000 2200161.00000000
  74 0.46846847 72610.60000000 1883876.20000000
